Gene_symbol	Ensembl gene ID	Chrom	CDS_Begin	CDS_End	Essential	Non-essential	Overexpressed_in_the_brain	Exon_number	CDS_length	GC%
FIGN	ENSG00000182263	2	164449906	164592522	Y	N	N	3	2280	36.3
SCN3A	ENSG00000153253	2	165944032	166060577	Y	N	Y	28	6003	35.07
SCN2A	ENSG00000136531	2	166095912	166248818	Y	N	Y	27	6018	35.59
SCN1A	ENSG00000144285	2	166845670	166930149	Y	N	Y	26	6030	34
SCN9A	ENSG00000169432	2	167051695	167232503	Y	N	N	27	5970	34.44
XIRP2	ENSG00000163092	2	167744997	168116263	Y	N	N	11	10650	36.19
LRP2	ENSG00000081479	2	169983619	170219195	Y	N	N	79	13968	39.6
SSB	ENSG00000138385	2	170648443	170668574	Y	N	N	12	1227	39.88
UBR3	ENSG00000144357	2	170683968	170940641	Y	N	N	39	5667	36.88
GAD1	ENSG00000128683	2	171669723	171717661	Y	N	Y	17	1785	45.82
SLC25A12	ENSG00000115840	2	172640880	172864766	Y	N	Y	18	2037	40.25
DLX1	ENSG00000144355	2	172949468	172954405	Y	N	Y	3	768	55.73
DLX2	ENSG00000115844	2	172964167	172967628	Y	N	Y	3	987	59.82
ITGA6	ENSG00000091409	2	173292082	173371181	Y	N	N	26	3393	41.78
SP3	ENSG00000172845	2	174771187	174830430	Y	N	N	7	2346	37.7
CHRNA1	ENSG00000138435	2	175612320	175629200	Y	N	N	10	1449	44.04
ATF2	ENSG00000115966	2	175936978	176033110	Y	N	Y	15	1518	36.05
KIAA1715	ENSG00000144320	2	176788620	176867567	Y	N	N	14	1380	35.26
EVX2	ENSG00000174279	2	176942200	176948641	Y	N	N	3	1431	53.4
HOXD13	ENSG00000128714	2	176957619	176960666	Y	N	N	2	1032	48.49
HOXD12	ENSG00000170178	2	176964458	176966408	Y	N	N	2	813	59.71
HOXD11	ENSG00000128713	2	176968944	176974722	Y	N	N	2	1017	60.88
HOXD3	ENSG00000128652	2	177001340	177039577	Y	N	N	4	1299	50.64
AGPS	ENSG00000018510	2	178257372	178408564	Y	N	N	20	1977	36.02
PRKRA	ENSG00000180228	2	179296141	179316239	Y	N	N	8	942	39.65
TTN	ENSG00000155657	2	179390716	179695529	Y	N	N	312	100272	37.71
ITGA4	ENSG00000115232	2	182321929	182400914	Y	N	N	28	3099	36.12
NEUROD1	ENSG00000162992	2	182537815	182545603	Y	N	Y	2	1071	39.48
NCKAP1	ENSG00000061676	2	183789605	183903586	Y	N	N	32	3405	35.43
ITGAV	ENSG00000138448	2	187454792	187545628	Y	N	N	30	3147	35.78
CALCRL	ENSG00000064989	2	188207856	188313187	Y	N	N	14	1386	33.09
TFPI	ENSG00000003436	2	188328957	188430487	Y	N	N	8	915	36.6
COL3A1	ENSG00000168542	2	189839046	189877472	Y	N	N	51	4401	33.8
COL5A2	ENSG00000204262	2	189896622	190044605	Y	N	N	54	4500	34.62
SLC40A1	ENSG00000138449	2	190425305	190448484	Y	N	N	8	1716	38.25
GLS	ENSG00000115419	2	191745553	191830278	Y	N	Y	18	2010	35.11
STAT1	ENSG00000115415	2	191829084	191885686	Y	N	N	25	2253	41.75
PGAP1	ENSG00000197121	2	197699908	197792520	Y	N	Y	27	2769	36.14
SF3B1	ENSG00000115524	2	198256698	198299815	Y	N	N	25	3915	39.47
HSPD1	ENSG00000144381	2	198351305	198381461	Y	N	N	12	1722	42.78
SATB2	ENSG00000119042	2	200134223	200335989	Y	N	Y	12	2202	38.72
CFLAR	ENSG00000003402	2	201980827	202029033	Y	N	N	10	1443	44.68
CASP8	ENSG00000064012	2	202098166	202152434	Y	N	N	9	1617	43.9
SUMO1	ENSG00000116030	2	203070903	203103331	Y	N	N	6	441	41.66
BMPR2	ENSG00000204217	2	203241659	203432474	Y	N	N	13	3117	41.04
NRP2	ENSG00000118257	2	206546714	206662857	Y	N	N	17	2796	45.88
ADAM23	ENSG00000114948	2	207308263	207485851	Y	N	Y	25	2499	38.27
KLF7	ENSG00000118263	2	207938861	208031991	Y	N	N	4	909	41.5
CREB1	ENSG00000118260	2	208394461	208468155	Y	N	N	9	1026	37.47
FZD5	ENSG00000163251	2	208627310	208634287	Y	N	N	2	1758	50.14
PIKFYVE	ENSG00000115020	2	209130991	209223475	Y	N	N	42	6297	37.08
ACADL	ENSG00000115361	2	211052663	211090215	Y	N	N	11	1293	36.42
MYL1	ENSG00000168530	2	211154874	211179914	Y	N	N	7	585	34.56
CPS1	ENSG00000021826	2	211342406	211543831	Y	N	N	39	4521	36.31
ERBB4	ENSG00000178568	2	212240446	213403565	Y	N	Y	28	3927	34.69
IKZF2	ENSG00000030419	2	213864429	214017151	Y	N	N	8	1599	34.84
BARD1	ENSG00000138376	2	215590370	215674428	Y	N	N	11	2334	36.38
ABCA12	ENSG00000144452	2	215796266	216003151	Y	N	N	53	7788	37.18
FN1	ENSG00000115414	2	216225163	216300895	Y	N	Y	46	7434	39.44
XRCC5	ENSG00000079246	2	216972187	217071026	Y	N	N	23	2199	39.46
STK36	ENSG00000163482	2	219536749	219567439	Y	N	N	27	3948	46.05
FEV	ENSG00000163497	2	219845809	219850379	Y	N	N	3	717	63.18
IHH	ENSG00000163501	2	219919146	219925189	Y	N	N	3	1236	63.15
ATG9A	ENSG00000198925	2	220074494	220094439	Y	N	N	16	2520	55.14
RESP18	ENSG00000182698	2	220192131	220197899	Y	N	N	7	687	50.48
SPEG	ENSG00000072195	2	220299568	220363009	Y	N	N	41	9804	57.68
PAX3	ENSG00000135903	2	223064607	223163715	Y	N	N	10	1518	39.73
CUL3	ENSG00000036257	2	225334867	225450110	Y	N	N	16	2307	37.23
IRS1	ENSG00000169047	2	227599757	227664475	Y	N	N	2	3729	41.06
HTR2B	ENSG00000135914	2	231972944	231989832	Y	N	N	4	1446	34.92
NPPC	ENSG00000163273	2	232786530	232791113	Y	N	N	3	381	55.98
ALPP	ENSG00000163283	2	233243244	233247599	Y	N	N	11	1608	62.35
ECEL1	ENSG00000171551	2	233344537	233352538	Y	N	N	18	2328	64.78
CHRNG	ENSG00000196811	2	233404437	233412546	Y	N	N	12	1554	56.95
GIGYF2	ENSG00000204120	2	233562009	233725285	Y	N	N	31	3966	39.44
ATG16L1	ENSG00000085978	2	234118697	234204320	Y	N	N	19	1875	45.33
DGKD	ENSG00000077044	2	234263153	234380750	Y	N	N	30	3645	47.76
GBX2	ENSG00000168505	2	237073879	237077012	Y	N	N	2	1047	62.06
CXCR7	ENSG00000144476	2	237476430	237491001	Y	N	N	2	1089	50.01
COPS8	ENSG00000198612	2	237993955	238009109	Y	N	Y	8	630	39.13
MLPH	ENSG00000115648	2	238394071	238463961	Y	N	N	16	1803	51.32
TWIST2	ENSG00000233608	2	239756673	239795893	Y	N	N	2	483	49.06
HDAC4	ENSG00000068024	2	239969864	240323348	Y	N	N	27	3255	51.33
KIF1A	ENSG00000130294	2	241653181	241759725	Y	N	Y	50	5376	58.61
MTERFD2	ENSG00000122085	2	242014469	242041747	Y	N	N	4	1146	46.7
SUMF1	ENSG00000144455	3	3742498	4508965	Y	N	N	10	1281	39.53
ITPR1	ENSG00000150995	3	4535032	4889524	Y	N	Y	59	8232	42.9
FANCD2	ENSG00000144554	3	10068098	10143614	Y	N	N	43	4416	42.77
BRK1	ENSG00000254999	3	10157276	10168874	Y	N	N	4	318	45.07
VHL	ENSG00000134086	3	10182692	10193904	Y	N	N	3	642	47.55
SLC6A11	ENSG00000132164	3	10857885	10982419	Y	N	N	14	1899	47
ATG7	ENSG00000197548	3	11313995	11599139	Y	N	N	19	2112	43.27
PPARG	ENSG00000132170	3	12328867	12475855	Y	N	N	7	1518	38.71
RAF1	ENSG00000132155	3	12625100	12705725	Y	N	N	18	2007	42.69
C3orf19	ENSG00000154781	3	14693271	14714166	Y	N	N	11	1404	42.27
NR2C2	ENSG00000177463	3	14989091	15095107	Y	N	N	15	1848	42.09
CAPN7	ENSG00000131375	3	15247659	15294425	Y	N	N	21	2442	37.11
COLQ	ENSG00000206561	3	15491640	15563258	Y	N	N	17	1371	46.58
DPH3	ENSG00000154813	3	16299485	16306479	Y	N	N	3	249	40.8
SATB1	ENSG00000182568	3	18386864	18487080	Y	N	N	12	2388	36.42
TOP2B	ENSG00000077097	3	25639475	25706398	Y	N	Y	36	4881	35.14
EOMES	ENSG00000163508	3	27757440	27764206	Y	N	N	6	2118	47.94
TGFBR2	ENSG00000163513	3	30647994	30735634	Y	N	N	8	1779	40.81
TRIM71	ENSG00000206557	3	32859510	32933771	Y	N	N	4	2607	45.96
UBP1	ENSG00000153560	3	33429828	33482863	Y	N	N	17	1623	40.23
MLH1	ENSG00000076242	3	37034823	37107380	Y	N	N	19	2271	42.01
ITGA9	ENSG00000144668	3	37493606	37865005	Y	N	N	28	3108	44.64
OXSR1	ENSG00000172939	3	38206580	38296979	Y	N	N	18	1584	38.67
ACVR2B	ENSG00000114739	3	38495342	38524948	Y	N	N	11	1539	49.5
SCN5A	ENSG00000183873	3	38589548	38691164	Y	N	N	28	6051	50.93
CSRNP1	ENSG00000144655	3	39183346	39196053	Y	N	N	5	1770	55.85
RPSA	ENSG00000168028	3	39448180	39453929	Y	N	N	7	903	45.37
CTNNB1	ENSG00000168036	3	41236328	41301587	Y	N	N	16	2346	39.91
VIPR1	ENSG00000114812	3	42530791	42579059	Y	N	N	13	1374	52.67
ABHD5	ENSG00000011198	3	43731605	43775863	Y	N	N	7	1050	40.26
TDGF1	ENSG00000241186	3	46616045	46668033	Y	N	N	6	567	43.33
PTH1R	ENSG00000160801	3	46919236	46945287	Y	N	N	16	1782	57.96
SETD2	ENSG00000181555	3	47057919	47205457	Y	N	N	21	7695	40.23
PTPN23	ENSG00000076201	3	47422501	47454931	Y	N	N	25	4911	51.53
SMARCC1	ENSG00000173473	3	47626762	47823596	Y	N	N	28	3318	41.6
CDC25A	ENSG00000164045	3	48198636	48229892	Y	N	N	15	1575	45.04
COL7A1	ENSG00000114270	3	48601506	48632700	Y	N	N	118	8835	60.13
CELSR3	ENSG00000008300	3	48673902	48700348	Y	N	Y	36	9954	59.89
IMPDH2	ENSG00000178035	3	49061758	49066841	Y	N	N	14	1545	53.38
LAMB2	ENSG00000172037	3	49158547	49170551	Y	N	N	32	5397	57.34
DAG1	ENSG00000173402	3	49506146	49573048	Y	N	N	4	2688	47.52
FAM212A	ENSG00000185614	3	49840687	49842463	Y	N	N	2	864	64.6
TRAIP	ENSG00000183763	3	49866034	49894007	Y	N	N	15	1410	49.84
MST1R	ENSG00000164078	3	49924435	49941299	Y	N	N	20	4203	55.84
GNAI2	ENSG00000114353	3	50263724	50296787	Y	N	N	9	1068	57.36
HYAL2	ENSG00000068001	3	50355221	50360337	Y	N	N	3	1422	61.05
CACNA2D2	ENSG00000007402	3	50400233	50541675	Y	N	N	39	3462	56.52
VPRBP	ENSG00000145041	3	51433298	51534010	Y	N	N	16	3237	43.34
RAD54L2	ENSG00000164080	3	51575596	51697610	Y	N	N	22	4404	44.3
RPL29	ENSG00000162244	3	52027644	52029958	Y	N	N	4	480	53.91
ALAS1	ENSG00000023330	3	52232102	52248343	Y	N	N	11	1923	45.47
PBRM1	ENSG00000163939	3	52579368	52719933	Y	N	N	30	5070	40.81
GNL3	ENSG00000163938	3	52715172	52728508	Y	N	N	15	1650	43.2
TKT	ENSG00000163931	3	53258723	53290068	Y	N	N	15	1896	54.36
WNT5A	ENSG00000114251	3	55499743	55523973	Y	N	N	5	1143	48.42
HESX1	ENSG00000163666	3	57231944	57260549	Y	N	N	4	558	41.19
FLNB	ENSG00000136068	3	57994127	58157982	Y	N	N	47	7902	46.61
CADPS	ENSG00000163618	3	62384022	62861054	Y	N	N	30	4062	40
ADAMTS9	ENSG00000163638	3	64501333	64673676	Y	N	Y	40	5808	40.09
SLC25A26	ENSG00000144741	3	66119285	66438530	Y	N	N	11	825	40.17
UBA3	ENSG00000144744	3	69103881	69129559	Y	N	N	18	1392	37.06
MITF	ENSG00000187098	3	69788586	70017488	Y	N	N	10	1581	38.57
FOXP1	ENSG00000114861	3	71003844	71633140	Y	N	N	16	2040	41.11
RYBP	ENSG00000163602	3	72423744	72496069	Y	N	N	4	952	38.17
ROBO2	ENSG00000185008	3	75955846	77699115	Y	N	Y	27	4320	35.65
ROBO1	ENSG00000169855	3	78646390	79816965	Y	N	Y	31	4956	35.1
GBE1	ENSG00000114480	3	81538850	81811312	Y	N	N	16	2109	35.29
EPHA3	ENSG00000044524	3	89156674	89531284	Y	N	Y	17	2952	34.6
PROS1	ENSG00000184500	3	93591881	93692910	Y	N	N	15	2031	38.85
ARL13B	ENSG00000169379	3	93698983	93774512	Y	N	N	10	1287	36.2
RPL24	ENSG00000114391	3	101399935	101405626	Y	N	N	6	474	42.52
NFKBIZ	ENSG00000144802	3	101546835	101579866	Y	N	N	12	2157	40.23
IFT57	ENSG00000114446	3	107879659	107941417	Y	N	N	11	1290	35.29
DPPA4	ENSG00000121570	3	109044988	109056419	Y	N	N	7	915	43.85
ZBTB20	ENSG00000181722	3	114056941	114866118	Y	N	N	5	2226	36.04
GAP43	ENSG00000172020	3	115342171	115440337	Y	N	Y	4	825	38.61
POGLUT1	ENSG00000163389	3	119187785	119213555	Y	N	N	11	1179	41.18
COX17	ENSG00000138495	3	119373360	119396301	Y	N	N	4	297	41.28
GSK3B	ENSG00000082701	3	119540170	119813264	Y	N	N	12	1302	37.15
FSTL1	ENSG00000163430	3	120111140	120170100	Y	N	N	11	927	43.92
CASR	ENSG00000036828	3	121902530	122005342	Y	N	N	7	3267	41.03
HEG1	ENSG00000173706	3	124684554	124774802	Y	N	N	17	4146	44.98
ZNF148	ENSG00000163848	3	124944405	125094198	Y	N	N	10	2385	36.86
MCM2	ENSG00000073111	3	127317066	127341276	Y	N	N	16	2715	50.74
GATA2	ENSG00000179348	3	128198270	128212028	Y	N	N	7	1443	60.45
CNBP	ENSG00000169714	3	128888327	128902765	Y	N	N	5	540	42.41
MBD4	ENSG00000129071	3	129149787	129158878	Y	N	N	8	1743	39.54
IFT122	ENSG00000163913	3	129158968	129239198	Y	N	N	31	3879	47.55
PLXND1	ENSG00000004399	3	129274018	129325661	Y	N	N	36	5778	58.39
ATP2C1	ENSG00000017260	3	130569439	130735556	Y	N	Y	28	2922	37.56
NPHP3	ENSG00000113971	3	132276986	132441303	Y	N	N	27	3993	37.11
UBA5	ENSG00000081307	3	132373290	132396941	Y	N	N	12	1215	36.76
TOPBP1	ENSG00000163781	3	133317019	133380737	Y	N	N	28	4569	37.82
TF	ENSG00000091513	3	133464800	133497850	Y	N	Y	17	2097	45.21
SLCO2A1	ENSG00000174640	3	133651540	133771028	Y	N	N	14	1932	47.76
RYK	ENSG00000163785	3	133794023	133969689	Y	N	N	16	1827	39.87
PIK3CB	ENSG00000051382	3	138372860	138553780	Y	N	Y	23	3213	40.59
FOXL2	ENSG00000183770	3	138663066	138665982	Y	N	N	1	1131	64.62
ATR	ENSG00000175054	3	142168077	142297668	Y	N	N	47	7935	37.14
ZIC4	ENSG00000174963	3	147103833	147124647	Y	N	N	5	1155	49.67
ZIC1	ENSG00000152977	3	147111209	147228080	Y	N	Y	3	1344	38.69
WWTR1	ENSG00000018408	3	149235022	149454501	Y	N	N	8	1203	41.07
SERP1	ENSG00000120742	3	150259781	150321015	Y	N	N	2	237	38.84
SSR3	ENSG00000114850	3	156257929	156272973	Y	N	N	5	597	38.72
TIPARP	ENSG00000163659	3	156391024	156424559	Y	N	N	6	1974	38.27
SHOX2	ENSG00000168779	3	157813743	157824292	Y	N	Y	6	1068	46.27
SCHIP1	ENSG00000151967	3	159557650	159615149	Y	N	N	7	783	39.91
IFT80	ENSG00000068885	3	159974774	160117668	Y	N	N	20	2334	36.52
B3GALNT1	ENSG00000169255	3	160801671	160823172	Y	N	Y	5	996	40.28
PDCD10	ENSG00000114209	3	167401086	167452727	Y	N	N	9	639	35.73
MECOM	ENSG00000085276	3	168801287	169381406	Y	N	N	16	3693	37.45
PRKCI	ENSG00000163558	3	169940153	170023769	Y	N	N	18	1791	39.82
SKIL	ENSG00000136603	3	170075466	170114623	Y	N	N	6	2055	39.63
SLC2A2	ENSG00000163581	3	170714137	170744539	Y	N	N	11	1575	36.89
FNDC3B	ENSG00000075420	3	171757418	172119455	Y	N	N	26	3615	39.76
ECT2	ENSG00000114346	3	172468472	172539264	Y	N	N	24	2784	34.96
PIK3CA	ENSG00000121879	3	178865902	178957881	Y	N	N	21	3207	35.78
MFN1	ENSG00000171109	3	179065480	179112719	Y	N	N	18	2226	38.56
FXR1	ENSG00000114416	3	180585929	180694950	Y	N	N	17	1866	39.16
SOX2	ENSG00000181449	3	181429714	181432221	Y	N	Y	2	954	50.72
B3GNT5	ENSG00000176597	3	182971032	183016292	Y	N	N	2	1137	42.15
DVL3	ENSG00000161202	3	183873176	183891398	Y	N	N	15	2151	52.91
AP2M1	ENSG00000161203	3	183892477	183901879	Y	N	Y	14	1383	54.13
CHRD	ENSG00000090539	3	184097861	184108524	Y	N	Y	23	2868	59.37
SENP2	ENSG00000163904	3	185300284	185351339	Y	N	N	17	1770	42.86
TRA2B	ENSG00000136527	3	185633694	185655924	Y	N	N	9	867	38.67
ETV5	ENSG00000244405	3	185764097	185828107	Y	N	N	13	1659	42.69
BCL6	ENSG00000113916	3	187439165	187463515	Y	N	N	10	2121	47.68
LPP	ENSG00000145012	3	187871072	188608460	Y	N	N	11	1839	39.17
TP63	ENSG00000073282	3	189349205	189615068	Y	N	N	14	2043	37.13
CLDN1	ENSG00000163347	3	190023490	190040264	Y	N	N	4	636	37.41
OPA1	ENSG00000198836	3	193310933	193415612	Y	N	Y	31	3048	36.98
HES1	ENSG00000114315	3	193853934	193856521	Y	N	N	4	843	53.32
TFRC	ENSG00000072274	3	195754054	195809060	Y	N	N	19	2283	42.47
PCYT1A	ENSG00000161217	3	195941093	196014828	Y	N	N	9	1143	46.69
FBXO45	ENSG00000174013	3	196295482	196315930	Y	N	N	3	861	41.25
PAK2	ENSG00000180370	3	196466728	196559518	Y	N	N	15	1575	41.7
DLG1	ENSG00000075711	3	196769431	197026171	Y	N	Y	26	2781	36.59
FGFRL1	ENSG00000127418	4	1003724	1020685	Y	N	N	7	1515	66.74
CTBP1	ENSG00000159692	4	1205236	1243741	Y	N	Y	9	1323	60.99
MAEA	ENSG00000090316	4	1283639	1333935	Y	N	Y	10	1305	55.03
TACC3	ENSG00000013810	4	1723227	1746898	Y	N	N	16	2517	56.08
FGFR3	ENSG00000068078	4	1795034	1810599	Y	N	Y	18	2427	65.82
WHSC1	ENSG00000109685	4	1873151	1983934	Y	N	N	22	4098	47.14
RNF4	ENSG00000063978	4	2463947	2627047	Y	N	N	8	573	47.38
ADD1	ENSG00000087274	4	2845584	2931803	Y	N	Y	15	2307	44.84
HTT	ENSG00000197386	4	3076408	3245676	Y	N	N	67	9429	45.52
DOK7	ENSG00000175920	4	3465033	3503200	Y	N	N	10	1827	62.88
LRPAP1	ENSG00000163956	4	3508103	3534286	Y	N	N	8	1074	57.65
MSX1	ENSG00000163132	4	4861393	4865663	Y	N	N	2	912	56.97
EVC	ENSG00000072840	4	5712924	5830772	Y	N	Y	21	2979	47.77
WFS1	ENSG00000109501	4	6271576	6304992	Y	N	N	8	2673	57.04
HMX1	ENSG00000215612	4	8847931	8873543	Y	N	Y	2	1047	59.36
SLC2A9	ENSG00000109667	4	9772777	10056560	Y	N	N	12	1623	45.33
WDR1	ENSG00000071127	4	10075963	10118573	Y	N	N	15	1821	54.98
HS3ST1	ENSG00000002587	4	11394774	11431389	Y	N	N	2	924	43.92
NKX3-2	ENSG00000109705	4	13542454	13546674	Y	N	N	2	1002	62.88
FBXL5	ENSG00000118564	4	15606162	15683302	Y	N	N	11	2076	37.87
TAPT1	ENSG00000169762	4	16162128	16229033	Y	N	N	14	1704	38.85
SLIT2	ENSG00000145147	4	20254883	20622184	Y	N	Y	39	4629	36.01
PPARGC1A	ENSG00000109819	4	23756664	23905712	Y	N	N	13	2397	38.32
SLC34A2	ENSG00000157765	4	25656923	25680370	Y	N	N	13	2073	48.27
RBPJ	ENSG00000168214	4	26165077	26436541	Y	N	N	11	1503	40.8
KLF3	ENSG00000109787	4	38665817	38702663	Y	N	N	6	1038	41.91
WDR19	ENSG00000157796	4	39184024	39287430	Y	N	N	37	4029	39.3
LIAS	ENSG00000121897	4	39460620	39479273	Y	N	N	11	1119	39.99
UGDH	ENSG00000109814	4	39500375	39529931	Y	N	N	12	1485	41.86
PDS5A	ENSG00000121892	4	39824483	39979576	Y	N	N	33	4014	40.35
PHOX2B	ENSG00000109132	4	41746099	41750987	Y	N	N	3	945	52.1
GABRA2	ENSG00000151834	4	46250444	46477247	Y	N	Y	10	1536	35.63
GSX2	ENSG00000180613	4	54965690	54968672	Y	N	N	2	915	58.03
PDGFRA	ENSG00000134853	4	55095264	55164414	Y	N	N	23	3270	43.65
KIT	ENSG00000157404	4	55524085	55606881	Y	N	N	21	2931	40.87
KDR	ENSG00000128052	4	55944644	55991756	Y	N	N	30	4071	40.69
SRD5A3	ENSG00000128039	4	56212276	56239263	Y	N	N	5	957	44.77
HOPX	ENSG00000171476	4	57514155	57548065	Y	N	N	5	339	42.94
REST	ENSG00000084093	4	57774075	57802010	Y	N	N	4	3294	42.81
NOA1	ENSG00000084092	4	57829536	57844989	Y	N	N	7	2097	45.66
CENPC1	ENSG00000145241	4	68337521	68411324	Y	N	N	19	2832	36.74
UBA6	ENSG00000033178	4	68481479	68566897	Y	N	N	33	3159	35.49
SLC4A4	ENSG00000080493	4	72053003	72437804	Y	N	Y	25	3285	37.49
ANKRD17	ENSG00000132466	4	73939093	74124515	Y	N	Y	34	7812	36.17
SHROOM3	ENSG00000138771	4	77356253	77704406	Y	N	N	11	5991	41.27
FRAS1	ENSG00000138759	4	78978724	79465423	Y	N	N	74	12039	39.75
NKX6-1	ENSG00000163623	4	85413061	85419603	Y	N	N	3	1104	52.25
AFF1	ENSG00000172493	4	87856154	88062206	Y	N	N	21	3657	41.19
PKD2	ENSG00000118762	4	88928820	88998929	Y	N	N	15	2907	40.51
PPM1K	ENSG00000163644	4	89183315	89205921	Y	N	N	7	1119	40.2
GRID2	ENSG00000152208	4	93225550	94695707	Y	N	N	16	3024	34.74
ATOH1	ENSG00000172238	4	94750042	94751221	Y	N	N	1	1065	63.39
SMARCAD1	ENSG00000163104	4	95128762	95212443	Y	N	N	24	3087	36.02
UNC5C	ENSG00000182168	4	96083655	96470357	Y	N	N	16	2796	37.41
MTTP	ENSG00000138823	4	100484918	100545156	Y	N	N	18	2766	35.98
H2AFZ	ENSG00000164032	4	100869243	100871545	Y	N	N	5	387	49.59
NFKB1	ENSG00000109320	4	103422486	103538459	Y	N	N	24	2910	37.86
CENPE	ENSG00000138778	4	104026963	104119566	Y	N	N	49	8106	34.67
TET2	ENSG00000168769	4	106067032	106200973	Y	N	N	11	6072	36.29
LEF1	ENSG00000138795	4	108968701	109090112	Y	N	N	12	1200	40.02
SEC24B	ENSG00000138802	4	110354928	110461612	Y	N	N	25	3897	37.85
PITX2	ENSG00000164093	4	111538579	111563279	Y	N	N	3	975	49.37
NEUROG2	ENSG00000178403	4	113434672	113437328	Y	N	N	2	819	56.57
ANK2	ENSG00000145362	4	113739265	114304896	Y	N	Y	46	11874	37.08
MAD2L1	ENSG00000164109	4	120980577	120988229	Y	N	N	5	618	37.87
CCNA2	ENSG00000145386	4	122737599	122745087	Y	N	N	8	1299	39.43
SPRY1	ENSG00000164056	4	124317950	124324910	Y	N	N	2	960	48.7
FAT4	ENSG00000196159	4	126237554	126414087	Y	N	Y	17	14946	34.44
INTU	ENSG00000164066	4	128544426	128637930	Y	N	N	16	2829	36.85
PLK4	ENSG00000142731	4	128802016	128820350	Y	N	N	16	2913	36.34
PHF17	ENSG00000077684	4	129730779	129796379	Y	N	N	11	2529	44.21
PCDH10	ENSG00000138650	4	134070470	134129356	Y	N	N	5	3123	33.91
SETD7	ENSG00000145391	4	140417243	140477928	Y	N	N	8	1101	42.11
GAB1	ENSG00000109458	4	144257915	144395721	Y	N	N	11	2175	38.61
SMARCA5	ENSG00000153147	4	144434616	144478639	Y	N	N	24	3159	35.51
HHIP	ENSG00000164161	4	145567173	145666423	Y	N	N	13	2103	36.07
ABCE1	ENSG00000164163	4	146019084	146050331	Y	N	N	18	1800	35.08
SMAD1	ENSG00000170365	4	146402346	146479231	Y	N	N	7	1398	38.45
EDNRA	ENSG00000151617	4	148402069	148466106	Y	N	N	8	1284	38.78
NR3C2	ENSG00000151623	4	148999913	149365850	Y	N	Y	8	2967	38.42
MAB21L2	ENSG00000181541	4	151503077	151505843	Y	N	N	1	1080	52.11
FBXW7	ENSG00000109670	4	153242410	153456172	Y	N	Y	12	2124	35.23
PLRG1	ENSG00000171566	4	155456158	155471587	Y	N	N	15	1545	34.71
FGG	ENSG00000171557	4	155525286	155534119	Y	N	N	9	1386	37.19
GUCY1B3	ENSG00000061918	4	156680144	156728743	Y	N	Y	15	1926	36.52
PDGFC	ENSG00000145431	4	157681606	157892546	Y	N	N	6	1038	35.95
GLRB	ENSG00000109738	4	157997209	158093242	Y	N	Y	10	1494	35.21
GRIA2	ENSG00000120251	4	158125334	158287227	Y	N	Y	16	2652	34.59
RAPGEF2	ENSG00000109756	4	160025330	160281321	Y	N	Y	24	4500	36.57
TLL1	ENSG00000038295	4	166794410	167025047	Y	N	N	22	3111	35.72
PALLD	ENSG00000129116	4	169418217	169849608	Y	N	N	22	3372	39.87
NEK1	ENSG00000137601	4	170314426	170533780	Y	N	Y	36	3861	37.08
CLCN3	ENSG00000109572	4	170533784	170644824	Y	N	Y	14	2601	37.1
HAND2	ENSG00000164107	4	174446120	174451380	Y	N	N	2	654	55.84
HPGD	ENSG00000164120	4	175411328	175444305	Y	N	N	7	801	36.73
VEGFC	ENSG00000150630	4	177604689	177713881	Y	N	N	7	1263	35.55
CASP3	ENSG00000164305	4	185548850	185570663	Y	N	N	8	834	40.48
HELT	ENSG00000187821	4	185939995	185941958	Y	N	N	4	984	65.78
PDLIM3	ENSG00000154553	4	186422903	186456766	Y	N	N	8	1095	39.91
FAT1	ENSG00000083857	4	187508937	187647876	Y	N	N	27	13767	41.53
ZFP42	ENSG00000179059	4	188916925	188926204	Y	N	N	3	933	44.57
TRIP13	ENSG00000071539	5	892758	919472	Y	N	N	13	1299	50.49
LPCAT1	ENSG00000153395	5	1456595	1524092	Y	N	N	14	1605	56.14
SEMA5A	ENSG00000112902	5	9035138	9546187	Y	N	Y	23	3225	40.17
DNAH5	ENSG00000039139	5	13690440	13944652	Y	N	N	79	13875	38.97
TRIO	ENSG00000038382	5	14143811	14532235	Y	N	Y	57	9294	43.35
BASP1	ENSG00000176788	5	17217669	17276943	Y	N	N	2	684	41.23
ZFR	ENSG00000056097	5	32354456	32444867	Y	N	Y	20	3225	38.33
NPR3	ENSG00000113389	5	32689176	32791819	Y	N	N	8	1626	40.83
SPEF2	ENSG00000152582	5	35617946	35814713	Y	N	N	37	5469	37.81
NIPBL	ENSG00000164190	5	36876861	37066515	Y	N	N	47	8415	35.04
NUP155	ENSG00000113569	5	37288239	37371283	Y	N	N	35	4176	41.76
GDNF	ENSG00000168621	5	37812779	37839788	Y	N	N	3	687	46.08
LIFR	ENSG00000113594	5	38475065	38608456	Y	N	N	20	3294	39.45
RICTOR	ENSG00000164327	5	38938021	39074510	Y	N	N	39	5199	35.53
DAB2	ENSG00000153071	5	39371780	39462402	Y	N	N	15	2313	38.96
PTGER4	ENSG00000171522	5	40679600	40693837	Y	N	N	3	1467	42.72
OXCT1	ENSG00000083720	5	41730167	41870621	Y	N	N	17	1563	37.48
GHR	ENSG00000112964	5	42423879	42721979	Y	N	N	10	1917	38.47
